Date,Instagram follows
2026-06-18,6
2026-06-19,35
2026-06-20,30
2026-06-21,42
2026-06-22,28
2026-06-23,30
2026-06-24,18
2026-06-25,23
2026-06-26,16
2026-06-27,14
2026-06-28,22
2026-06-29,16
2026-06-30,11
2026-07-01,9
2026-07-02,7
2026-07-03,1
2026-07-04,5
2026-07-05,5
2026-07-06,5
2026-07-07,6
2026-07-08,3
2026-07-09,6
2026-07-10,4
2026-07-11,21
2026-07-12,101
2026-07-13,146
2026-07-14,50
2026-07-15,10
2026-07-16,7
2026-07-17,7
2026-07-18,5
2026-07-19,8
2026-07-20,803
2026-07-21,401
2026-07-22,222
2026-07-23,181
2026-07-24,150
2026-07-25,97
2026-07-26,133
2026-07-27,108
2026-07-28,97
2026-07-29,97
2026-07-30,84
2026-07-31,67
2026-08-01,56
2026-08-02,34
2026-08-03,34
2026-08-04,25
2026-08-05,25
2026-08-06,24
2026-08-07,24
2026-08-08,11
2026-08-09,23
2026-08-10,26
2026-08-11,9
2026-08-12,13
2026-08-13,17
2026-08-14,29
2026-08-15,18
2026-08-16,48
2026-08-17,21
2026-08-18,20
2026-08-19,84
2026-08-20,71
2026-08-21,31
2026-08-22,54
2026-08-23,100
2026-08-24,330
2026-08-25,245
2026-08-26,151
2026-08-27,193
2026-08-28,59
2026-08-29,215
2026-08-30,192
2026-08-31,37
2026-09-01,45
2026-09-02,37
2026-09-03,40
2026-09-04,15
2026-09-05,28
2026-09-06,16
2026-09-07,21
2026-09-08,16
2026-09-09,15
2026-09-10,15
2026-09-11,17
2026-09-12,14
2026-09-13,15
2026-09-14,19
