Date,Instagram link clicks
2026-06-17,0
2026-06-18,0
2026-06-19,0
2026-06-20,0
2026-06-21,0
2026-06-22,0
2026-06-23,0
2026-06-24,0
2026-06-25,0
2026-06-26,0
2026-06-27,0
2026-06-28,0
2026-06-29,0
2026-06-30,0
2026-07-01,0
2026-07-02,0
2026-07-03,0
2026-07-04,6
2026-07-05,10
2026-07-06,0
2026-07-07,0
2026-07-08,0
2026-07-09,5
2026-07-10,2
2026-07-11,7
2026-07-12,7
2026-07-13,12
2026-07-14,2
2026-07-15,11
2026-07-16,5
2026-07-17,2
2026-07-18,7
2026-07-19,4
2026-07-20,0
2026-07-21,35
2026-07-22,57
2026-07-23,37
2026-07-24,10
2026-07-25,7
2026-07-26,11
2026-07-27,4
2026-07-28,2
2026-07-29,5
2026-07-30,0
2026-07-31,0
2026-08-01,15
2026-08-02,5
2026-08-03,0
2026-08-04,3
2026-08-05,0
2026-08-06,0
2026-08-07,0
2026-08-08,22
2026-08-09,1
2026-08-10,9
2026-08-11,12
2026-08-12,0
2026-08-13,0
2026-08-14,5
2026-08-15,3
2026-08-16,11
2026-08-17,5
2026-08-18,10
2026-08-19,0
2026-08-20,14
2026-08-21,12
2026-08-22,4
2026-08-23,11
2026-08-24,0
2026-08-25,13
2026-08-26,1
2026-08-27,22
2026-08-28,8
2026-08-29,5
2026-08-30,8
2026-08-31,0
2026-09-01,0
2026-09-02,0
2026-09-03,4
2026-09-04,0
2026-09-05,12
2026-09-06,1
2026-09-07,0
2026-09-08,0
2026-09-09,0
2026-09-10,0
2026-09-11,3
2026-09-12,0
2026-09-13,18
2026-09-14,0
