Date,Instagram views
2026-06-17,0
2026-06-18,6601
2026-06-19,73544
2026-06-20,73758
2026-06-21,66243
2026-06-22,68184
2026-06-23,55765
2026-06-24,37396
2026-06-25,32568
2026-06-26,31887
2026-06-27,31997
2026-06-28,36014
2026-06-29,21277
2026-06-30,22767
2026-07-01,19084
2026-07-02,17879
2026-07-03,11013
2026-07-04,11679
2026-07-05,9823
2026-07-06,9095
2026-07-07,13230
2026-07-08,15775
2026-07-09,11963
2026-07-10,16522
2026-07-11,22739
2026-07-12,20761
2026-07-13,24219
2026-07-14,14814
2026-07-15,10611
2026-07-16,9619
2026-07-17,12571
2026-07-18,8334
2026-07-19,25989
2026-07-20,77717
2026-07-21,82869
2026-07-22,65151
2026-07-23,76235
2026-07-24,74956
2026-07-25,51066
2026-07-26,68003
2026-07-27,47796
2026-07-28,43891
2026-07-29,40775
2026-07-30,38628
2026-07-31,36597
2026-08-01,34256
2026-08-02,25581
2026-08-03,20789
2026-08-04,20848
2026-08-05,16066
2026-08-06,15827
2026-08-07,15201
2026-08-08,16216
2026-08-09,18097
2026-08-10,17949
2026-08-11,15157
2026-08-12,13846
2026-08-13,11973
2026-08-14,12549
2026-08-15,17385
2026-08-16,29210
2026-08-17,36968
2026-08-18,25559
2026-08-19,106894
2026-08-20,36837
2026-08-21,19427
2026-08-22,31370
2026-08-23,108782
2026-08-24,89041
2026-08-25,75007
2026-08-26,113645
2026-08-27,221629
2026-08-28,66549
2026-08-29,67718
2026-08-30,57646
2026-08-31,45041
2026-09-01,36524
2026-09-02,30015
2026-09-03,26344
2026-09-04,22441
2026-09-05,18967
2026-09-06,24342
2026-09-07,23611
2026-09-08,19247
2026-09-09,18699
2026-09-10,17292
2026-09-11,22311
2026-09-12,18990
2026-09-13,19010
2026-09-14,17460
