Date,Instagram profile visits
2026-06-17,0
2026-06-18,72
2026-06-19,350
2026-06-20,281
2026-06-21,246
2026-06-22,201
2026-06-23,152
2026-06-24,117
2026-06-25,100
2026-06-26,114
2026-06-27,75
2026-06-28,107
2026-06-29,70
2026-06-30,64
2026-07-01,55
2026-07-02,50
2026-07-03,52
2026-07-04,46
2026-07-05,33
2026-07-06,34
2026-07-07,39
2026-07-08,49
2026-07-09,26
2026-07-10,37
2026-07-11,75
2026-07-12,201
2026-07-13,215
2026-07-14,131
2026-07-15,68
2026-07-16,52
2026-07-17,66
2026-07-18,68
2026-07-19,94
2026-07-20,1067
2026-07-21,836
2026-07-22,465
2026-07-23,394
2026-07-24,333
2026-07-25,348
2026-07-26,306
2026-07-27,341
2026-07-28,237
2026-07-29,198
2026-07-30,211
2026-07-31,185
2026-08-01,200
2026-08-02,112
2026-08-03,97
2026-08-04,103
2026-08-05,78
2026-08-06,69
2026-08-07,60
2026-08-08,69
2026-08-09,76
2026-08-10,94
2026-08-11,61
2026-08-12,50
2026-08-13,39
2026-08-14,69
2026-08-15,77
2026-08-16,169
2026-08-17,122
2026-08-18,117
2026-08-19,149
2026-08-20,119
2026-08-21,55
2026-08-22,130
2026-08-23,244
2026-08-24,316
2026-08-25,265
2026-08-26,264
2026-08-27,369
2026-08-28,150
2026-08-29,157
2026-08-30,111
2026-08-31,102
2026-09-01,74
2026-09-02,61
2026-09-03,69
2026-09-04,68
2026-09-05,62
2026-09-06,50
2026-09-07,51
2026-09-08,40
2026-09-09,71
2026-09-10,58
2026-09-11,44
2026-09-12,73
2026-09-13,49
2026-09-14,38
